"Diena","Dienos fokusas","3 svarbiausi darbai","Įprotis","Atlikta?","Produktyvumo balas 1-5","Refleksijos pastaba"
"1","Aiškiai pradėti dieną","Užrašyti prioritetus; atlikti svarbiausią darbą; suplanuoti pertrauką","10 min planavimas","Ne","",""
"2","","","","Ne","",""
"3","","","","Ne","",""
"4","","","","Ne","",""
"5","","","","Ne","",""
"6","","","","Ne","",""
"7","","","","Ne","",""
"8","","","","Ne","",""
"9","","","","Ne","",""
"10","","","","Ne","",""
"11","","","","Ne","",""
"12","","","","Ne","",""
"13","","","","Ne","",""
"14","","","","Ne","",""
"15","","","","Ne","",""
"16","","","","Ne","",""
"17","","","","Ne","",""
"18","","","","Ne","",""
"19","","","","Ne","",""
"20","","","","Ne","",""
"21","","","","Ne","",""
"22","","","","Ne","",""
"23","","","","Ne","",""
"24","","","","Ne","",""
"25","","","","Ne","",""
"26","","","","Ne","",""
"27","","","","Ne","",""
"28","","","","Ne","",""
"29","","","","Ne","",""
"30","","","","Ne","",""
