"Data","Laiko blokas","Užduotis","Kategorija","Prioritetas","Energijos lygis","Statusas","Dienos santrauka"
"","06:00-07:00","Rytinis pasiruošimas","Asmeninis ritmas","Vidutinis","Žemas","Neatlikta",""
"","07:00-08:00","Planavimas ir fokusas","Planavimas","Aukštas","Vidutinis","Neatlikta",""
"","08:00-10:00","Gilus darbas","Darbas / mokslai","Aukštas","Aukštas","Neatlikta",""
"","10:00-11:00","Žinutės ir administravimas","Administravimas","Vidutinis","Vidutinis","Neatlikta",""
"","11:00-12:00","Projektas","Darbas / mokslai","Aukštas","Aukštas","Neatlikta",""
"","12:00-13:00","Pietūs / poilsis","Poilsis","Vidutinis","Žemas","Neatlikta",""
"","13:00-15:00","Antras fokuso blokas","Darbas / mokslai","Aukštas","Vidutinis","Neatlikta",""
"","15:00-16:00","Peržiūra ir korekcijos","Planavimas","Vidutinis","Vidutinis","Neatlikta",""
"","16:00-17:00","Lengvesnės užduotys","Užduotys","Žemas","Žemas","Neatlikta",""
"","17:00-18:00","Judėjimas / perėjimas","Poilsis","Vidutinis","Žemas","Neatlikta",""
